DIRECTORIO,se_siente_inseguro_barrio,se_siente_inseguro_ciudad,inseguro_caminando_solo_noche,inseguro_caminando_solo_dia,la_seguridad_en_los_ultimos_6_meses,puede_ser_victima_delito,inseguro_trabajo/estudio,inseguro_parques,inseguro_lugares_comerciales,inseguro_transporte_publico,inseguro_puentes_peatonales,inseguro_discotecas,causa_delincuencia,hurto_celulares_aumento,ladrones_pandillas_aumento,vendedores_droga_aumento,pobreza_aumento,desempleo_aumento,inmigrante_aumento,venta_compra_articulos_robados,habitantes_calle_aumento,prostitucion_aumento,extorcion_aumento,satisfecho_vida,satisfecho_situacion_economica,satisfecho_situacion_laboral
600044,2,2,5,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,5,falta de educacion,no sabe,no sabe,no sabe,no sabe,no sabe,disminuyo,no sabe,disminuyo,no sabe,no sabe,4,4,9
600045,2,3,3,2,disminuyo,si,inseguro,seguro,inseguro,seguro,seguro,3,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,disminuyo,4,3,4
600045,3,3,4,3,siguio igual,si,seguro,seguro,seguro,seguro,seguro,3,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,4,4,4
600046,2,2,2,2,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,desempleo,no sabe,disminuyo,no sabe,aumento,aumento,disminuyo,no sabe,aumento,no sabe,no sabe,3,3,4
600046,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,no sabe,aumento,aumento,disminuyo,no sabe,aumento,no sabe,no sabe,4,4,3
600046,2,2,2,2,disminuyo,no,inseguro,inseguro,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,disminuyo,aumento,aumento,disminuyo,no sabe,aumento,no sabe,no sabe,3,4,1
600046,2,2,2,2,disminuyo,no,inseguro,inseguro,seguro,inseguro,no frecuenta puentes y peatonales,3,desempleo,no sabe,no sabe,no sabe,aumento,aumento,disminuyo,no sabe,disminuyo,no sabe,no sabe,4,3,1
600047,3,3,3,3,siguio igual,si,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,5,el consumo de drogas,no sabe,disminuyo,no sabe,no sabe,no sabe,disminuyo,no sabe,no sabe,no sabe,no sabe,4,4,5
600047,4,4,5,4,no vivia antes en la ciudad en ese periodo,si,inseguro,seguro,seguro,seguro,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,no sabe,5,4,4
600048,3,3,5,3,siguio igual,si,inseguro,seguro,seguro,seguro,seguro,3,falta de educacion,aumento,aumento,disminuyo,aumento,aumento,aumento,disminuyo,aumento,no sabe,aumento,4,3,4
600048,1,2,2,2,aumento,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,no sabe,no sabe,disminuyo,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,4,4,2
600049,3,3,3,3,siguio igual,si,seguro,inseguro,seguro,seguro,seguro,3,desempleo,aumento,disminuyo,disminuyo,aumento,aumento,aumento,aumento,aumento,disminuyo,disminuyo,5,5,5
600049,3,3,3,3,siguio igual,si,seguro,seguro,seguro,seguro,seguro,3,ley poco dura contra delincuentes,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,4,4,4
600049,3,3,3,3,siguio igual,si,seguro,seguro,seguro,seguro,seguro,3,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,3
