DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia
637712,237,3,1,3,86.724331062,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,3,4,0
637713,237,1,1,1,113.81275874,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
637713,237,2,1,2,113.81275874,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
637713,237,3,1,3,113.81275874,Mucho,Mucho,Poco,Poco,Poco,Poco,Mucho,Mucho,4,4,0
637713,237,4,1,4,113.81275874,Mucho,Mucho,Nada,Nada,Nada,Nada,Nada,Nada,4,4,1
637714,237,1,1,1,108.5875317,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,1
637714,237,2,1,2,108.5875317,Mucho,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,3,3,0
637715,237,1,1,1,73.278987489,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,5,0
637715,237,2,1,2,73.278987489,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,5,5,0
637715,237,3,1,3,73.278987489,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,5,5,0
637715,237,4,1,4,73.278987489,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Mucho,5,5,0
637716,237,1,1,1,81.683626853,Poco,Mucho,Poco,Nada,Nada,Poco,Poco,Poco,3,4,0
637716,237,2,1,2,81.683626853,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Poco,Mucho,3,3,0
637717,237,1,1,1,103.09801153,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
637718,237,1,1,1,121.94226943,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
637718,237,2,1,2,121.94226943,Poco,Poco,Poco,Nada,Nada,Nada,Nada,Nada,2,2,0
637719,237,1,1,1,90.887519645,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
637719,237,2,1,2,90.887519645,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
637720,237,1,1,1,95.909049693,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
637720,237,2,1,2,95.909049693,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,5,5,0
637721,237,1,1,1,91.392399131,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
637721,237,2,1,2,91.392399131,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,5,0
637722,237,1,1,1,90.887519645,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
637722,237,2,1,2,90.887519645,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
637723,237,1,1,1,108.11954158,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,5,0
637724,237,1,1,1,152.45162313,Mucho,Poco,Mucho,Poco,Mucho,Mucho,Poco,Poco,3,4,0
637724,237,2,1,2,152.45162313,Poco,Poco,Mucho,Poco,Mucho,Mucho,Poco,Poco,3,3,0
637724,237,3,1,3,152.45162313,Nada,Nada,Poco,Poco,Nada,Nada,Nada,Nada,1,2,0
637725,237,2,1,2,61.097955354,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
637725,237,3,1,3,61.097955354,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,4,0
