DIRECTORIO,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia
600091,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600091,Poco,Poco,Nada,Poco,Poco,Poco,Poco,Poco,3,2,0
600092,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,3,3,1
600092,Poco,Poco,Poco,Nada,Nada,Nada,Nada,Nada,3,3,0
600093,Poco,Nada,Nada,Nada,Poco,Poco,Nada,Nada,3,1,0
600093,Nada,Nada,Nada,Nada,Nada,Poco,Nada,Nada,2,1,0
600094,Poco,Nada,Poco,Poco,Nada,Poco,Poco,Nada,3,3,0
600094,Poco,Poco,Nada,Poco,Nada,Poco,Nada,Nada,3,1,0
600094,Mucho,Nada,Poco,Poco,Nada,Nada,Poco,Nada,4,1,0
600094,Poco,Mucho,Nada,Nada,Nada,Poco,Poco,Poco,2,2,0
600094,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Nada,4,4,0
600094,Poco,Nada,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600095,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600095,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,3,0
600096,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,4,2,0
600097,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600097,Poco,Poco,Nada,Poco,Poco,Nada,Nada,Poco,3,2,0
600098,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
600098,Poco,Nada,Nada,Nada,Poco,Nada,Nada,Nada,3,4,0
600098,Poco,Nada,Poco,Nada,Nada,Nada,Nada,Nada,3,3,0
600099,Mucho,Nada,Nada,Nada,Nada,Nada,Poco,Nada,3,3,0
600100,Poco,Poco,Nada,Poco,Nada,Poco,Poco,Nada,3,3,0
600100,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,5,0
600101,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,2,2,0
600101,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600102,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600102,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600103,Poco,Poco,Poco,Nada,Poco,Nada,Nada,Nada,4,3,0
600103,Poco,Poco,Nada,Nada,Poco,Nada,Nada,Nada,4,4,0
600103,Poco,Poco,Poco,Nada,Nada,Nada,Nada,Nada,3,3,0
600104,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
600105,Poco,Nada,Nada,Poco,Nada,Poco,Poco,Nada,3,4,0
600105,Nada,Nada,Nada,Poco,Poco,Poco,Poco,Poco,3,2,0
600106,Mucho,Mucho,Poco,Poco,Nada,Nada,Nada,Nada,4,4,0
600107,Poco,Poco,Poco,Poco,Poco,Nada,Nada,Nada,3,3,0
600107,Poco,Poco,Nada,Nada,Nada,Nada,Poco,Nada,4,4,0
600107,Mucho,Mucho,Poco,Mucho,Mucho,Mucho,Mucho,Mucho,5,4,0
600107,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600108,Mucho,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600108,Mucho,Poco,Poco,Nada,Nada,Mucho,Poco,Poco,3,4,0
600109,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Mucho,Nada,5,5,0
600109,Mucho,Mucho,Mucho,Mucho,Nada,Mucho,Mucho,Nada,5,5,0
600110,Nada,Poco,Nada,Nada,Nada,Nada,Nada,Nada,1,3,0
600110,Poco,Nada,Poco,Nada,Poco,Poco,Nada,Nada,3,4,0
600110,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600111,Poco,Poco,Poco,Poco,Poco,Poco,Nada,Nada,2,4,0
