DIRECTORIO,homicidio,extorsiones,vandalismo,consumo_drogas,consumo_alcohol,agresiones_vecinos,violaciones_sexuales,acoso_sexual,presencia_pandillas,expendedores_droga,guerrilla,hurto
600261,si,si,no,si,si,si,no,no,si,si,no,si
600262,si,no,si,si,si,no,no,no,si,si,no,si
600263,si,si,no,si,si,no,no,no,si,si,no,si
600264,si,no,no,no,no,no,no,no,si,si,no,si
600265,si,si,no,si,si,si,no,no,si,no,no,si
600266,si,si,si,si,si,no,no,no,no,no,no,si
600267,no,no,no,no,no,no,no,no,no,no,no,si
600268,si,no,no,si,si,no,no,no,si,si,no,si
600269,no,no,no,no,no,no,no,no,si,si,no,no
600270,no,no,no,no,no,si,no,no,no,no,no,si
600271,no,no,no,no,no,no,no,no,si,no,no,si
600272,si,si,no,si,si,no,no,no,no,si,no,si
600273,si,si,si,si,si,no,no,no,si,si,no,si
600274,si,si,si,si,si,no,no,no,si,si,no,si
600275,no,si,no,si,no,no,no,no,no,no,no,si
600276,no,no,no,si,si,no,no,no,no,si,no,si
600277,si,si,si,si,no,no,no,no,si,si,no,si
600278,no,si,no,si,no,no,no,no,no,si,no,si
600279,no,no,no,no,no,no,no,no,si,si,no,no
600280,si,si,si,no,si,no,no,no,no,no,no,si
600281,si,si,si,si,si,no,no,si,si,si,no,si
600282,no,no,no,no,no,no,no,no,si,no,no,si
600283,si,si,no,no,no,no,no,no,no,si,no,si
600284,no,no,no,no,no,no,no,no,no,no,no,si
600285,no,no,si,si,si,no,no,no,si,si,no,no
600286,si,no,si,si,si,no,no,no,si,si,no,si
600287,no,no,no,no,no,no,no,no,no,no,no,no
600288,no,no,no,si,si,no,no,no,no,si,no,no
600289,no,no,no,no,no,no,no,no,no,si,no,no
600290,no,si,si,si,si,si,no,no,si,si,si,si
600291,no,no,no,no,no,no,no,no,no,si,no,si
600292,si,no,si,si,no,no,si,no,si,si,si,si
600293,no,si,si,si,si,si,si,no,si,si,si,si
600294,no,no,no,no,no,no,no,no,no,no,no,no
600295,no,no,no,si,si,no,no,no,si,si,no,si
600296,no,no,no,no,no,no,no,no,no,no,no,no
600297,no,no,no,no,no,no,no,no,no,no,no,si
600298,no,no,no,no,no,no,no,no,no,no,no,si
600299,no,no,no,no,no,no,no,no,no,no,no,no
600300,no,no,no,no,no,no,no,no,no,no,no,si
600301,no,no,no,no,no,no,no,no,no,no,no,si
600302,no,si,si,si,si,si,no,no,no,no,no,si
600303,no,no,no,no,no,no,no,no,no,no,no,si
600304,no,no,no,no,no,no,no,no,si,no,no,si
600305,no,no,no,no,no,no,no,no,no,no,no,si
600306,no,no,no,no,no,no,no,no,no,no,no,si
600307,no,no,no,no,no,no,no,no,si,no,no,si
600308,no,no,no,no,no,no,no,no,no,no,no,no
600309,si,no,si,si,si,si,no,si,si,si,no,si
600310,no,no,no,si,si,no,no,no,no,no,no,si
600311,no,no,no,no,no,no,no,no,no,no,no,si
600312,si,no,si,si,no,si,no,no,no,si,no,si
600313,no,no,no,si,si,no,no,no,no,no,no,si
600314,no,no,no,no,no,no,no,no,no,no,no,no
600315,no,no,no,si,si,no,no,no,no,no,no,si
600316,si,si,si,si,si,no,no,no,si,si,no,si
600317,no,no,no,si,si,no,no,no,si,no,no,si
600318,no,no,no,no,si,no,no,no,no,no,no,si
600319,no,no,no,si,si,no,no,no,no,si,no,si
600320,no,no,no,no,no,no,no,no,no,no,no,si
600321,no,no,no,no,si,no,no,no,no,no,no,no
600322,si,no,no,no,no,no,no,no,no,no,no,si
600323,no,no,si,si,si,no,no,no,si,no,no,si
600324,no,no,no,no,no,no,no,no,no,no,no,no
600325,no,no,no,no,no,no,no,no,no,no,no,si
600326,no,no,no,no,no,no,no,no,no,no,no,no
600327,no,no,no,si,si,no,no,no,si,no,no,si
600328,no,no,no,no,si,no,no,no,no,no,no,si
600329,no,no,no,si,si,no,no,no,no,no,no,no
600330,no,no,no,si,si,no,no,no,no,no,no,si
600331,si,no,si,si,si,no,no,no,si,si,no,si
600332,no,no,no,si,si,no,no,no,si,no,no,no
600333,no,no,si,si,si,si,no,no,si,si,no,si
600334,no,no,no,si,si,no,no,no,no,no,no,si
600335,si,no,si,si,si,si,no,no,si,si,no,si
600336,no,no,no,si,si,no,no,no,si,si,no,si
600337,no,no,no,si,si,si,no,no,si,si,no,si
600338,no,no,no,si,no,no,no,no,no,si,no,si
600339,no,no,no,si,si,si,no,no,no,si,no,si
600340,no,no,no,no,si,no,no,no,no,no,no,si
600341,no,no,no,no,no,no,no,no,no,no,no,no
600342,no,no,no,no,no,no,no,no,no,no,no,no
600344,no,no,no,si,no,no,no,no,no,no,no,no
600345,no,no,no,no,no,no,no,no,no,no,no,si
600346,no,no,no,no,no,no,no,no,no,no,no,no
600347,no,no,no,no,no,no,no,no,no,no,no,no
600348,no,no,no,si,no,no,no,no,no,si,no,no
600349,no,no,no,no,no,no,no,no,no,no,no,no
600350,no,no,no,no,no,no,no,no,no,no,no,no
600351,no,no,no,si,no,si,no,no,no,no,no,no
600352,no,no,no,no,no,no,no,no,no,no,no,no
600353,no,no,no,no,no,no,no,no,no,no,no,no
600354,no,no,no,no,no,no,no,no,no,no,no,no
600355,no,no,no,no,no,no,no,no,no,no,no,no
600356,no,no,no,no,no,no,no,no,no,no,no,no
600357,no,no,no,no,no,no,no,no,no,no,no,no
600358,no,no,no,no,no,no,no,no,no,no,no,no
600359,no,no,no,no,no,no,no,no,no,no,no,no
600360,no,no,no,si,no,no,no,no,no,no,no,no
600361,no,no,no,no,no,no,no,no,no,no,no,si
600362,no,no,no,no,no,no,no,no,no,no,no,si
600363,no,no,no,no,no,no,no,no,no,no,no,no
600364,no,no,no,no,no,no,no,no,no,no,no,no
600365,no,si,si,si,si,si,no,si,si,si,no,si
600366,no,no,no,si,si,si,si,no,si,si,no,si
600367,no,no,si,si,si,si,no,no,si,si,no,si
600368,no,no,no,si,si,no,no,no,si,no,no,si
600369,no,no,si,si,si,si,no,si,no,si,no,si
600370,no,no,no,si,si,si,no,si,si,si,no,si
600371,no,no,si,si,si,si,si,si,si,si,no,si
600372,no,no,no,si,si,no,no,no,no,si,no,si
600373,si,no,no,si,si,si,no,si,si,si,no,si
600374,no,no,no,si,si,no,no,no,si,si,no,si
600375,no,no,no,no,no,no,no,no,no,no,no,no
600376,no,no,si,si,si,si,no,no,si,si,no,si
600377,no,no,no,no,si,no,no,no,no,no,no,si
600378,no,si,no,no,no,no,no,no,si,no,no,si
600379,no,no,no,no,no,no,no,no,si,si,no,si
600380,no,no,no,no,no,no,no,no,no,no,no,no
600381,no,no,no,si,si,no,no,no,no,si,no,si
600382,no,no,si,si,no,no,no,no,si,si,no,si
600383,no,no,no,si,si,no,no,no,no,si,no,no
600384,no,no,no,no,no,no,no,no,no,no,no,si
600385,no,no,no,no,no,no,no,no,no,no,no,no
600386,no,no,no,no,no,no,no,no,no,no,no,no
600387,no,no,no,si,no,no,no,no,no,no,no,no
600388,no,no,no,si,si,no,no,no,no,si,no,no
600389,no,no,si,no,si,no,no,no,no,no,no,si
600390,no,no,no,no,no,no,no,no,no,no,no,no
600391,no,no,no,no,no,no,no,no,no,si,no,no
600392,no,no,no,no,no,no,no,no,no,no,no,no
600393,no,no,no,no,si,no,no,no,no,no,no,si
600394,no,no,si,no,si,no,no,no,no,no,no,si
600395,no,no,no,si,si,no,no,no,no,no,no,si
600396,no,no,no,no,no,no,no,no,no,no,no,si
600397,no,no,no,no,no,no,no,no,no,no,no,si
600398,no,no,no,no,no,no,no,no,no,no,no,no
600399,no,no,no,no,si,no,no,no,no,no,no,no
600400,no,no,no,no,no,no,no,no,no,no,no,no
600401,si,no,si,si,si,si,no,no,no,no,no,si
600402,no,no,no,si,si,si,no,no,no,no,no,si
600403,no,no,no,si,no,no,no,no,no,no,no,si
600404,no,no,no,no,no,no,no,no,no,no,no,si
600405,no,no,no,no,no,no,no,no,no,no,no,si
600406,no,no,no,no,no,no,no,no,no,no,no,si
600407,no,no,no,no,no,no,no,no,no,no,no,si
600408,no,no,no,si,no,no,no,no,no,no,no,si
600409,no,no,no,si,si,no,no,no,no,si,no,si
600410,si,no,si,si,si,si,no,no,si,si,no,si
600411,no,no,no,no,no,no,no,no,no,no,no,si
600412,no,no,no,no,no,no,no,no,no,si,no,si
600413,no,no,no,no,no,no,no,no,no,no,no,si
600414,no,no,no,si,no,no,no,no,no,no,no,si
600415,no,no,no,no,no,no,no,no,no,no,no,si
600417,no,no,no,si,no,no,no,no,no,si,no,no
600418,no,no,no,si,si,no,no,no,no,no,no,si
600419,no,no,no,no,no,no,no,no,no,no,no,no
600420,no,no,no,no,no,no,no,no,no,si,no,si
600421,no,no,no,no,no,no,no,no,no,no,no,si
600421,no,no,no,no,no,no,no,no,no,no,no,no
600422,no,no,no,si,si,no,no,no,no,no,no,si
600423,no,no,no,no,no,no,no,no,no,no,no,si
600424,no,no,no,si,no,no,no,no,no,si,no,si
600425,no,no,no,si,si,no,no,no,no,no,no,si
600426,no,no,no,si,no,no,no,no,no,no,no,si
600427,no,no,no,no,si,no,no,no,no,no,no,si
600428,no,no,no,no,no,no,no,no,no,no,no,no
600429,no,no,si,si,si,si,no,no,si,si,no,si
600430,no,no,no,no,no,no,no,no,no,no,no,no
600431,no,no,no,si,si,si,no,no,no,no,no,si
600432,no,no,no,no,no,no,no,no,si,si,no,si
600433,no,no,si,si,si,no,no,no,no,no,no,si
600434,no,no,no,si,si,si,no,no,no,si,no,si
600435,no,no,no,no,no,no,no,no,no,no,no,si
600436,no,no,no,si,no,no,no,no,no,si,no,si
600437,no,no,no,no,no,no,no,no,no,no,no,si
600438,no,no,no,no,si,si,no,no,no,no,no,si
600439,no,no,si,si,si,si,no,no,si,si,no,si
600440,no,no,no,si,si,no,no,no,si,si,no,si
600441,no,no,no,no,no,no,no,no,no,no,no,si
600442,no,no,no,no,no,no,no,no,no,no,no,no
600443,no,no,si,si,si,no,no,no,si,si,no,si
600444,no,no,no,no,no,no,no,no,si,no,no,no
600445,no,no,si,si,si,no,no,no,si,si,no,si
600446,no,no,no,no,no,no,no,no,no,no,no,si
600447,no,no,si,si,no,no,no,no,si,si,no,no
600448,no,no,no,no,no,no,no,no,no,si,no,no
600449,no,no,no,no,no,no,no,no,si,si,no,si
600450,no,no,no,no,no,no,no,no,no,no,no,si
600451,si,si,si,si,si,si,no,si,no,no,no,si
600452,no,no,si,si,si,no,no,no,si,no,no,si
600453,no,no,no,si,no,no,no,no,no,no,no,si
600454,no,no,no,no,no,no,no,no,no,no,no,si
600455,no,no,si,si,si,no,no,no,no,no,no,si
600456,no,no,no,no,no,no,no,no,no,no,no,no
600457,no,no,no,no,si,no,no,no,no,no,no,no
600458,no,no,no,no,no,no,no,no,no,no,no,si
600459,no,no,no,no,no,no,no,no,si,si,no,si
600460,si,no,no,si,si,si,no,no,si,no,no,si
600461,no,no,no,no,no,no,no,no,no,no,no,si
600462,si,si,si,si,si,si,no,no,si,si,no,si
600463,no,no,no,no,no,no,no,no,si,no,no,si
600464,no,no,si,si,si,si,si,si,si,si,no,si
600465,no,no,no,si,si,si,no,no,no,no,no,si
600466,no,no,si,si,no,no,no,no,no,si,no,si
600467,no,no,no,no,no,no,no,no,no,si,no,si
600468,si,si,no,si,si,si,no,si,si,si,no,si
600469,no,no,no,si,si,si,no,no,no,no,no,si
600470,no,no,no,si,si,si,no,no,si,si,no,si
600471,no,no,no,no,no,no,no,no,no,si,no,no
600472,no,no,no,si,si,no,no,no,no,si,no,si
600473,no,no,no,no,no,no,no,no,no,si,no,si
600474,no,no,no,si,no,no,no,no,no,no,no,si
600475,no,no,no,si,no,no,no,no,no,no,no,si
600476,no,no,si,no,no,no,no,no,no,no,no,si
600477,no,no,no,si,si,no,no,no,si,si,no,si
600478,no,no,no,no,no,no,no,no,no,no,no,si
600479,no,no,no,si,si,no,no,no,no,no,no,si
600480,no,no,no,no,si,no,no,no,si,si,no,si
600481,no,no,no,no,no,no,no,no,no,no,no,si
600482,no,no,no,no,no,no,no,no,no,no,no,si
600483,no,no,no,no,si,no,no,no,no,no,no,si
600484,no,no,no,si,no,no,no,no,no,si,no,si
600485,no,no,no,no,no,no,no,no,no,si,no,si
600486,no,no,no,no,no,no,no,no,no,no,no,no
600487,no,no,no,si,no,no,no,no,no,no,no,si
600488,no,no,no,si,no,no,no,no,no,si,no,si
600489,no,no,no,no,no,no,no,no,no,no,no,si
600490,no,no,no,no,no,no,no,no,no,no,no,no
600491,no,no,no,no,no,no,no,no,no,no,no,no
600492,no,no,no,no,no,no,no,no,no,no,no,no
600493,no,no,no,no,no,no,no,no,no,no,no,no
600494,no,no,no,no,no,no,no,no,no,si,no,si
600495,no,no,no,no,no,no,no,no,no,no,no,si
600496,no,no,no,no,no,no,no,no,no,no,no,si
600497,no,no,no,no,no,no,no,no,si,si,no,no
600498,no,no,no,no,no,no,no,no,no,no,no,no
600499,no,no,no,si,no,no,no,no,no,no,no,no
600500,no,no,no,si,si,no,no,no,no,si,no,no
600501,si,no,no,si,si,no,no,no,no,no,no,si
600502,si,no,si,si,si,no,no,no,no,no,no,si
