DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Ciudad,Clase,Estrato
600251,235,1,1,1,1283.7951354,0,Cabecera,2.0
600254,235,1,1,1,1094.0987815,0,Cabecera,2.0
600255,235,1,1,1,811.4524757,0,Cabecera,2.0
600256,235,1,1,1,1430.2120396,0,Cabecera,2.0
600257,235,1,1,1,576.03589724,0,Cabecera,2.0
600258,235,1,1,1,846.77501959,0,Cabecera,2.0
600259,235,1,1,1,1061.5831997,0,Cabecera,2.0
600260,235,1,1,1,1017.9901444,0,Cabecera,2.0
600261,235,1,1,1,139.09248443,Barranquilla,Cabecera,1.0
600262,235,1,1,1,142.01967358,Barranquilla,Cabecera,1.0
600263,235,1,1,1,150.70924121,Barranquilla,Cabecera,1.0
600264,235,1,1,1,139.09248443,Barranquilla,Cabecera,1.0
600265,235,1,1,1,127.86054928,Barranquilla,Cabecera,1.0
600266,235,1,1,1,239.7724731,Barranquilla,Cabecera,1.0
600267,235,1,1,1,176.56700421,Barranquilla,Cabecera,1.0
600268,235,1,1,1,294.68768833,Barranquilla,Cabecera,1.0
600269,235,1,1,1,237.19061011,Barranquilla,Cabecera,1.0
600270,235,1,1,1,219.8881663,Barranquilla,Cabecera,1.0
600271,235,1,1,1,181.43498956,Barranquilla,Cabecera,1.0
600272,235,1,1,1,222.73627341,Barranquilla,Cabecera,2.0
600273,235,1,1,1,113.72050915,Barranquilla,Cabecera,1.0
600274,235,1,1,1,100.34259099,Barranquilla,Cabecera,1.0
600275,235,1,1,1,234.85440389,Barranquilla,Cabecera,1.0
600276,235,1,1,1,248.00783815,Barranquilla,Cabecera,1.0
600277,235,1,1,1,146.57075461,Barranquilla,Cabecera,1.0
600278,235,1,1,1,199.73470048,Barranquilla,Cabecera,1.0
600279,235,1,1,1,446.72439724,0,Cabecera,1.0
600280,235,1,1,1,693.34602182,0,Cabecera,1.0
600281,235,1,1,1,910.93663474,0,Cabecera,1.0
600282,235,1,1,1,589.13190552,0,Cabecera,1.0
600283,235,1,1,1,693.34602182,0,Cabecera,1.0
600284,235,1,1,1,693.34602182,0,Cabecera,1.0
600285,235,1,1,1,151.23673027,Cartagena,Cabecera,1.0
600286,235,1,1,1,105.18836273,Cartagena,Cabecera,1.0
600287,235,1,1,1,113.15117612,Cartagena,Cabecera,1.0
600288,235,1,1,1,123.13598527,Cartagena,Cabecera,1.0
600289,235,1,1,1,134.36953262,Cartagena,Cabecera,1.0
600290,235,1,1,1,547.19224071,0,Cabecera,1.0
600291,235,1,1,1,577.53851062,0,Cabecera,1.0
600292,235,1,1,1,538.61961654,0,Cabecera,1.0
600293,235,1,1,1,588.16647232,0,Cabecera,1.0
600294,235,1,1,1,372.59840523,0,Cabecera,1.0
600295,235,1,1,1,412.11677113,0,Cabecera,1.0
600296,235,1,1,1,653.17823317,0,Cabecera,1.0
600297,235,1,1,1,857.88732408,0,Cabecera,3.0
600298,235,1,1,1,860.56395299,0,Cabecera,2.0
600299,235,1,1,1,1003.317367,0,Cabecera,3.0
600300,235,1,1,1,727.73747717,0,Cabecera,2.0
600301,235,1,1,1,922.03280677,0,Cabecera,2.0
600302,235,1,1,1,846.46902841,0,Cabecera,2.0
600303,235,1,1,1,786.31215622,0,Cabecera,2.0
600304,235,1,1,1,891.26313367,0,Cabecera,2.0
600305,235,1,1,1,758.50715027,0,Cabecera,2.0
600306,235,1,1,1,1058.8580262,0,Cabecera,2.0
600307,235,1,1,1,864.59338671,0,Cabecera,2.0
600308,235,1,1,1,869.44556232,0,Cabecera,1.0
600309,235,1,1,1,879.05763811,0,Cabecera,1.0
600310,235,1,1,1,978.36421688,0,Cabecera,1.0
600311,235,1,1,1,1301.6519822,0,Cabecera,1.0
600312,235,1,1,1,851.38950511,0,Cabecera,1.0
600313,235,1,1,1,893.8065691,0,Cabecera,1.0
600314,235,1,1,1,893.8065691,0,Cabecera,2.0
600315,235,1,1,1,1122.4984995,0,Cabecera,2.0
600316,235,1,1,1,470.9237347,0,Cabecera,2.0
600317,235,1,1,1,420.32728006,0,Cabecera,2.0
600318,235,1,1,1,532.02490065,0,Cabecera,2.0
600319,235,1,1,1,470.9237347,0,Cabecera,2.0
600320,235,1,1,1,478.82494773,0,Cabecera,2.0
600321,235,1,1,1,395.00035464,0,Cabecera,2.0
600322,235,1,1,1,461.2508469,0,Cabecera,2.0
600323,235,1,1,1,601.21258275,0,Cabecera,2.0
600324,235,1,1,1,526.87557434,0,Cabecera,2.0
600325,235,1,1,1,478.82494773,0,Cabecera,2.0
600326,235,1,1,1,884.18832734,0,Cabecera,2.0
600327,235,1,1,1,1028.0889114,0,Cabecera,3.0
600328,235,1,1,1,339.74408537,0,Cabecera,3.0
600329,235,1,1,1,443.15672943,0,Cabecera,3.0
600330,235,1,1,1,477.28571114,0,Cabecera,1.0
600331,235,1,1,1,289.26406736,0,Cabecera,1.0
600332,235,1,1,1,477.28571114,0,Cabecera,1.0
600333,235,1,1,1,1157.0562694,0,Cabecera,1.0
600334,235,1,1,1,684.2050459,0,Cabecera,1.0
600335,235,1,1,1,1105.9955117,0,Cabecera,1.0
600336,235,1,1,1,289.26406736,0,Cabecera,1.0
600337,235,1,1,1,537.33572837,0,Cabecera,1.0
600338,235,1,1,1,898.5680568,0,Cabecera,1.0
600339,235,1,1,1,898.5680568,0,Cabecera,1.0
600340,235,1,1,1,249.08595512,0,Cabecera,2.0
600341,235,1,1,1,135.13765258,0,Cabecera,2.0
600342,235,1,1,1,144.49401541,0,Cabecera,2.0
600344,235,1,1,1,136.56499228,0,Cabecera,1.0
600345,235,1,1,1,178.20896035,0,Cabecera,2.0
600346,235,1,1,1,154.79441714,0,Cabecera,1.0
600347,235,1,1,1,268.21788313,0,Cabecera,1.0
600348,235,1,1,1,136.56499228,0,Cabecera,1.0
600349,235,1,1,1,127.89176958,0,Cabecera,1.0
600350,235,1,1,1,154.79441714,0,Cabecera,1.0
600351,235,1,1,1,268.21788313,0,Cabecera,1.0
600352,235,1,1,1,178.35352333,0,Cabecera,2.0
600353,235,1,1,1,74.618895271,0,Cabecera,2.0
600354,235,1,1,1,139.42396553,0,Cabecera,2.0
600355,235,1,1,1,115.3834957,0,Cabecera,3.0
600356,235,1,1,1,156.66214356,0,Cabecera,1.0
600357,235,1,1,1,139.42396553,0,Cabecera,2.0
600358,235,1,1,1,119.41283608,0,Cabecera,2.0
600359,235,1,1,1,105.35013691,0,Cabecera,2.0
600360,235,1,1,1,205.89073911,0,Cabecera,2.0
600361,235,1,1,1,119.41283608,0,Cabecera,2.0
600362,235,1,1,1,206.91093842,0,Cabecera,2.0
600363,235,1,1,1,84.526358705,0,Cabecera,3.0
600364,235,1,1,1,139.42396553,0,Cabecera,1.0
600365,235,1,1,1,622.57078084,0,Cabecera,1.0
600366,235,1,1,1,744.67603447,0,Cabecera,1.0
600367,235,1,1,1,639.49815995,0,Cabecera,1.0
600368,235,1,1,1,862.02945043,0,Cabecera,1.0
600369,235,1,1,1,369.99423603,0,Cabecera,1.0
600370,235,1,1,1,896.34979224,0,Cabecera,1.0
600371,235,1,1,1,328.80326575,0,Cabecera,1.0
600372,235,1,1,1,439.80770146,0,Cabecera,1.0
600373,235,1,1,1,328.80326575,0,Cabecera,1.0
600374,235,1,1,1,696.57441376,0,Cabecera,1.0
600375,235,1,1,1,102.12452737,Villavicencio,Cabecera,2.0
600376,235,1,1,1,72.858933918,Villavicencio,Cabecera,3.0
600377,235,1,1,1,63.133005005,Villavicencio,Cabecera,3.0
600378,235,1,1,1,62.311479941,Villavicencio,Cabecera,3.0
