DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1182S1;P1182S2;P1182S3;P1181S1;P1181S2;P3317S1;P3317S2;P3317S3;P3318;P1612S1;P1611S1;P1772;P3319S1;P3319S2;P3320;P3321;P3119;P3121;P3122S1;P3122S2;P3122S3;P3122S4;P3123;P3124;P3125S1;P3125S2;P3125S3;P3125S4;P3125S5;P3125S6;P3126;P3322;P3127;P3128S1;P3128S2;P3128S3;P3128S4;P3128S5;P3128S6;P3128S7;P3128S8;P3129;P3323S1;P3323S2;P3323S3;P3323S4;P3323S5;P3323S6;P3324S1;P3324S2;P3324S3;P3324S4;P3325S1;P3325S2;P3325S3;P3325S4;P3326S1;P3326S2;P3326S3;P3326S4;P3326S5;P3326S6;P3326S7;P3326S8;P3326S9;P3327S1;P3327S2;P3327S3
600040;237;2;1;2;53.652478095;2;2;2;2;2;2;2;2;1;3;2;1;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;1;1;1;1;1;;;2;1;;;1;;;1;;;;1;;;;2;3;3;2;2;2;3;3;3;3;3;3
600040;237;3;1;3;53.652478095;2;2;2;2;3;3;3;3;1;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;;;2;2;;;1;;;;;;3;;;1;;;;;;;1;;;;;3;3;3;2;2;3;3;3;3;3;3;3
600041;237;1;1;1;92.599024541;1;1;1;1;2;2;1;2;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;2;1;;;;;;;;2;1;;;;;;1;1;;;1;;;;2;2;2;2;2;3;2;2;2;3;3;3
600041;237;2;1;2;92.599024541;1;1;1;1;2;2;2;2;2;;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;3;1;1;;;;;;;2;1;;;;;;;1;;;;;;;2;2;2;2;2;2;3;3;2;3;3;3
600042;237;1;1;1;57.75403985;2;3;3;3;3;2;2;3;1;1;2;2;2;1;2;1;1;2;;;;;;;;;;;;;;2;1;;;1;;;1;;;3;;1;;;;;;;;1;;;;;1;2;3;3;3;3;3;2;3;4;3;3
600042;237;2;1;2;57.75403985;3;3;3;3;3;3;3;3;2;;2;2;9;9;9;1;1;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;1;2;3;3;3;3;3;2;3;4;3;3
600043;237;1;1;1;54.875634728;2;2;3;3;3;3;3;3;2;;2;1;2;2;2;4;4;2;;;;;;;;;;;;;;2;3;;;1;;;;;;2;1;;;;;;1;;;;1;;;;3;3;3;2;3;2;3;3;3;2;2;3
600043;237;2;1;2;54.875634728;2;2;2;2;2;2;2;2;2;;2;2;9;9;2;3;3;2;;;;;;;;;;;;;;2;2;1;;1;;;1;;;2;1;;;;;;1;;1;;1;1;1;;2;2;2;2;2;2;3;3;3;2;3;3
600043;237;3;1;3;54.875634728;2;2;2;3;2;3;3;2;2;;2;2;9;9;2;3;2;2;;;;;;;;;;;;;;2;2;1;;1;;1;;;;2;1;;;;;;1;1;;;1;1;;;2;2;2;2;2;2;3;2;2;3;3;3
600044;237;1;1;1;51.826168608;2;2;2;2;2;2;2;2;2;;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;1;;;2;1;;;;;;;;;1;;;;;2;2;2;2;2;2;3;3;1;3;3;3
