DIRECTORIO,Victima_hurto_residencial_2022,Hurto_objeto_personal_2022,Victima_delito_cibernetico_2022,Implicado_violencia_fisica_2022,Victima_fraude_2022,Victima_amenazas_2022,Victima_acoso_laboral_2022,Victima_acoso_escolar_2022,Victima_secuestro_2022,Victima_invasiones_domiciliarias_2022,Victima_desplazamiento_2022,Victima_acoso_callejero_2022,Victima_acoso_sexual_2022
600146,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600146,,0,0,0,0,0,0,0,0,0,0,0,0
600146,,1,0,0,0,0,0,0,0,0,0,0,0
600147,,0,0,0,0,0,0,0,0,0,0,0,0
600147,,0,0,0,0,0,0,0,0,0,0,0,0
600147,,0,0,0,0,0,0,0,0,0,0,0,0
600147,0.0,0,0,0,0,0,0,0,0,0,0,1,0
600148,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600149,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600149,,0,0,0,0,0,0,0,0,0,0,0,0
600149,,0,0,0,0,0,0,0,0,0,0,0,0
600149,,0,0,0,0,0,0,0,0,0,0,0,0
600149,,0,0,0,0,0,0,0,0,0,0,0,0
600150,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600151,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600151,,0,0,0,0,0,0,0,0,0,0,0,0
600152,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600152,,0,0,0,0,0,0,0,0,0,0,0,0
600153,0.0,1,0,0,0,0,0,0,0,0,0,0,0
600153,,1,0,0,0,0,0,0,0,0,0,0,0
600154,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600154,,0,0,0,0,0,0,0,0,0,0,0,0
600155,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600156,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600156,,0,0,0,0,0,0,0,0,0,0,0,0
600157,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600157,,0,0,0,0,0,0,0,0,0,0,0,0
600158,0.0,1,0,0,0,0,0,0,0,0,0,0,0
600159,1.0,0,0,0,0,0,0,0,0,0,0,0,0
600159,,1,0,0,0,0,0,0,0,0,0,0,0
600159,,0,0,0,0,0,0,0,0,0,0,0,0
600160,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600161,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600161,,0,0,0,0,0,0,0,0,0,0,0,0
600161,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600161,,0,0,0,0,0,0,0,0,0,0,0,0
600162,1.0,1,0,0,1,0,0,0,0,0,0,0,0
600163,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600163,,0,0,0,0,0,0,0,0,0,0,0,0
600164,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600164,,0,0,0,0,0,0,0,0,0,0,0,0
600165,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600165,,0,0,0,0,0,0,0,0,0,0,0,0
600166,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600167,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600168,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600168,,0,0,0,0,0,0,0,0,0,0,0,0
600169,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600169,,0,0,0,0,0,0,0,0,0,0,0,0
600169,,0,0,0,0,0,0,0,0,0,0,0,0
600170,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600170,,0,0,0,0,0,0,0,0,0,0,0,0
600171,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600172,0.0,1,0,0,0,0,0,0,0,0,0,0,0
600173,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600173,,0,0,0,0,0,0,0,0,0,0,0,0
600174,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600174,,0,0,0,0,0,0,0,0,0,0,0,0
600174,,0,0,0,0,0,0,0,0,0,0,0,0
600175,0.0,0,1,1,0,0,0,0,0,0,0,0,0
600175,,0,0,0,0,0,0,0,0,0,0,0,0
600175,,0,0,0,0,0,0,0,0,0,0,0,0
600176,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600176,,0,0,0,0,0,0,0,0,0,0,0,0
600176,,0,0,0,0,0,0,0,0,0,0,0,0
600177,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600178,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600178,,0,0,0,0,0,0,0,0,0,0,0,0
600178,,0,0,0,0,0,0,0,0,0,0,0,0
600179,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600179,,0,0,0,0,0,0,0,0,0,0,0,0
600179,,0,0,0,0,0,0,0,0,0,0,0,0
600180,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600180,,0,0,0,0,0,0,0,0,0,0,0,0
600181,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600182,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600182,,1,0,0,0,0,0,0,0,0,0,0,0
600182,,0,0,0,0,0,0,0,0,0,0,0,0
600182,,0,0,0,0,0,0,0,0,0,0,0,0
600183,0.0,1,0,0,0,0,0,0,0,0,0,0,0
600183,,0,0,0,0,0,0,0,0,0,0,0,0
600183,,0,0,0,0,0,0,0,0,0,0,0,0
600184,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600184,,0,0,0,0,0,0,0,0,0,0,0,0
600185,1.0,0,0,0,0,0,0,0,0,0,0,0,0
600185,,0,0,0,0,0,0,0,0,0,0,0,0
600186,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600187,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600187,,0,0,0,0,0,0,0,0,0,0,0,0
600188,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600189,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600189,,0,1,0,0,0,0,0,0,0,0,0,0
600189,,0,0,0,0,0,0,0,0,0,0,0,0
600190,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600191,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600191,,0,0,0,0,0,0,0,0,0,0,0,0
600192,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600193,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600193,,0,0,0,0,0,0,0,0,0,0,0,0
600194,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600195,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600196,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600196,,0,0,0,0,0,0,0,0,0,0,0,0
600197,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600198,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600199,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600199,,0,0,0,0,0,0,0,0,0,0,0,0
600200,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600200,,0,0,0,0,0,0,0,0,0,0,0,0
600201,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600201,,0,0,0,0,0,0,0,0,0,0,0,0
600201,,0,0,0,0,0,0,0,0,0,0,0,0
600201,,0,0,0,0,0,0,0,0,0,0,0,0
600202,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600202,,0,0,0,0,0,0,0,0,0,0,0,0
600203,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600203,,0,0,0,0,0,0,0,0,0,0,0,0
600203,,0,0,0,0,0,0,0,0,0,0,0,0
600203,,0,0,0,0,0,0,0,0,0,0,0,0
600204,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600204,,0,0,0,0,0,0,0,0,0,0,0,0
600204,,0,0,0,0,0,0,0,0,0,0,0,0
600205,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600205,,0,0,0,0,0,0,0,0,0,0,0,0
600206,0.0,1,0,0,0,0,0,0,0,0,0,0,0
600207,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600207,,0,0,0,0,0,0,0,0,0,0,0,0
